author,hit_name,institute,research_area
Huanlai Xing,Huanlai Xing,Southwest Jiaotong University,
Xinhan Wang,Xinhan Wang,Southwest Jiaotong University,network function virtualization
Fuhong Song,Fuhong Song,Southwest Jiaotong University,"computer network,mobile edge computing,evolutionary computation,reinforcement learning"
Zhiwen Xiao,Zhiwen Xiao,University of Houston,"health communication,health behavior change,health literacy,information seeking,health disparities hiv prevention"
Bhaskarjit Sarmah,Bhaskarjit Sarmah,Unknown affiliation,machine learning
Nayana Nair,,,
Dhagash Mehta,Dhagash Mehta,Head of Applied Machine Learning Research (Investment Management) at Blackrock Inc.,"machine learning for finance,optimization,theory of machine learning,graph analytics,applied mathematics"
Stefano Pasquali,Stefano Pasquale,"Ph.D. in Industrial Engineering, University of Rome Tor Vergata","energy systems,design and optimization,hydrogen,electric vehicles"
Jinfeng Lin,Jinfeng Lin,University Of Notre Dame,
Amrit Poudel,Amrit Poudel,KLA-Tencor,"quantum electronics,condensed matter physics,quantum chemistry and molecular electronics,energy technolgies"
Wenhao Yu,Wenhao Yu,Google Robotics,"robotics,computer animation,reinforcement learning"
Qingkai Zeng,Qingkai Zeng,University of Notre Dame,"data mining,text mining,information extraction,representation learning"
Meng Jiang,Meng Jiang,University of Notre Dame,"data mining,natural language processing,artificial intelligence"
Jane Cleland-Huang,Jane Cleland-Huang,University of Notre Dame,"software traceability,requirements engineering,safety assurance,cyber-physical systems,agile software development"
Wenlong Huang,Wenlong Huang,Google Brain Robotics,"robotics,machine learning,reinforcement learning"
Fei Xia,Fei Xia,"Professor of Linguistics, University of Washington",natural language processing
Ted Xiao,Ted Xiao,"Google Brain, UC Berkeley","deep learning,artificial intelligence,robotics,reinforcement learning,control theory"
Harris Chan,Harris Chan,University of Toronto,machine learning
Jacky Liang,Jacky Liang,"Robotics Institute, Carnegie Mellon University","robotics,machine learning"
Pete Florence,Pete Florence,"Senior Research Scientist, Google","robotics,artificial intelligence,computer vision"
Andy Zeng,Andy Zeng,"Senior Research Scientist, Google","robotics,machine learning,computer vision"
Jonathan Tompson,Jonathan V Thompson,Texas A&M University,"optics,scattering,optical phase modulation,optimization algorithms"
Igor Mordatch,Igor Mordatch,UC Berkeley,"robotics,machine learning,computer graphics"
Yevgen Chebotar,Yevgen Chebotar,Google Brain,"robotics,machine learning,artificial intelligence"
Pierre Sermanet,Pierre Sermanet,"Research Scientist, Google","deep learning,computer vision,robotics,self-supervised learning"
Noah Brown,Noah Brown,Unknown affiliation,"machine learning,control theory,human-robot interaction"
Tomas Jackson,Tom Jackson,University College London,"cancer biology,translational control,molecular biology"
Linda Luu,,,
Sergey Levine,Sergey Levine,"UC Berkeley, Google","machine learning,robotics,reinforcement learning"
Karol Hausman,Karol Hausman,"Google Brain, Stanford","machine learning,robotics,reinforcement learning"
Brian Ichter,Brian Ichter,"Research Scientist, Google Brain","motion planning,robotics,machine learning"
Ziheng Zeng,Ziheng Zeng,"Ph.D. Candidate, University of Illinois at Urbana-Champaign",natural language processing
Suma Bhat,Suma Bhat,University of Illinois at Urbana-Champaign,"natural language processing,learning analytics,educational data mining,biomedical language processing"
Caigao Jiang,,,
Siqiao Xue,Siqiao Xue,"Ant Group, Alibaba",machine learning
James Zhang,James Zhang,University of Georgia,"sport marketing,sport leadership,and youth program management"
Lingyue Liu,Lingyue Liu,NanJing University,"sensors,catalysis,design of functional materials"
Zhibo Zhu,Zhibo Zhu,Unknown affiliation,
Hongyan Hao,Hongyan Hao,"Ph.D. student in the Biochemistry, Molecular, Cellular and Developmental Biology program, UCDavis.",cell biology
Teemu Pöyhönen,Teemu Pöyhönen,University of Helsinki,"nlp,deep learning,artificial intelligence,video games"
Mika Hämäläinen,Mika Hämäläinen,University of Helsinki,"nlp,nlg,computational creativity,endangered languages,computational aesthetics"
Khalid Alnajjar,Khalid Alnajjar,University of Helsinki,"computational creativity,machine learning"
Dimitrios Vamvourellis,,,
Mate Attila Toth,,,
Dhruv Desai,Dhruv Desai,The Ohio State University,"animal and veterinary science,diagnosis and vaccine,veterinary microbiology and immunology,cancer"
David James Woo,,,
Yanzhi Wang,Yanzhi Wang,Northeastern University,"energy efficient and high performance deep learning,neuromorphic computing,low-power circuits and systems,next-generation com"
Hengky Susanto,hengky susanto,Principal Research Scientist,"network economy,edge network,mobile network,data center network,distributed ledger"
Alexander Wang,Ke Alexander Wang,"CS PhD student, Stanford University","machine learning,time-series,deep learning,personalized healthcare"
Jerry Sun,Jerry Sun,"Professor, Odette School of Business, University of Windsor","financial accounting,auditing,corporate governance,corporate finance"
Kaitlyn Chen,,,
Kevin Zhou,Kevin Zhou,Stanford University,particle physics
Edward Li Gu,,,
Chenxin Fang,,,
Jiahao Huang,Jiahao Huang,"School of Physics and Astronomy, Sun Yat-Sen University","quantum metrology,quantum control,ultracold atoms"
Xiaodan Xing,Xiaodan Xing (邢潇丹),Imperial College London,"medical image synthesis,computer-aided diagnosis,graph convolution networks"
Zhifan Gao,Zhifan Gao,Sun Yat-sen University,"medical image analysis,computer vision,machine learning"
Guang Yang,Guang Yang,Columbia University,"synaptic plasticity,sleep,pain,neuroinflammation"
Ryuichi Ito,,,
Seng Pei Liew,Seng Pei Liew,LINE Corporation,"machine learning,particle physics"
Tsubasa Takahashi,Tsubasa Takahashi,LINE Corporation,"data mining,data privacy,machine learning"
Yuya Sasaki,Yuya Sasaki,MD Anderson Cancer Center,"hematology,cancer,leukemia,lymphoma"
Makoto Onizuka,makoto onizuka,Osaka University,"database systems,big data"
Tusarkanta Dalai,,,
Tapas Kumar Mishra,TAPAS KUMAR MISHRA,"Assistant Professor, Computer Science, NIT Rourkela","combinatorics,graph and hypergraph coloring,computational geometry,ramsey theory"
Pankaj K Sa,Pankaj K Sa,NIT Rourkela,"image processing,computer vision,video surveillance,biometrics"
Ren-xin Zhao,,,
Jinjing Shi,Jingjing Shi,"Postdoc of Mechanical Engineering, Georgia Institute of Technology","nanoscale heat transfer,multi-scale simulations of materials"
Shichao Zhang,Shichao Zhang,Guangxi Normal University,"data mining,big data"
William Hogan,William Hogan,"University of California, San Diego","natural language processing,deep learning,machine learning,information extraction,knowledge graph completion"
Jialiang Dong,,,
Zhitao Guan,Zhitao Guan,North China Electric Power University,"smart grid security,iot security,ai security,blockchain,privacy"
Longfei Wu,Longfei Wu,"Assistant Professor of Computer Science, Fayetteville State University","smartphone security,internet-of-things,medical device security,smart grid security"
Zijian Zhang,Zijian Zhang,Beijing Institute of Technology,"identification,behavior recognition,protocol design,formal analysis,blockchain"
Andreas Troxler,,,
Jürg Schelldorfer,,,
Modar Sulaiman,Modar Sulaiman,University of Tartu,
Kallol Roy,Kallol Roy,"Research Fellow, NUS, Singapore","optoelectronics,plasmonics,nanoelectronics,2d-materials"
Valentin Arkov,,,
Heather Lent,Heather Lent,Univeristy of Copenhagen,natural language processing
Kelechi Ogueji,Kelechi Ogueji,University of Waterloo,"natural language processing,deep learning,language models,multilingual,information retrieval"
Miryam de Lhoneux,Miryam de Lhoneux,"Postdoctoral researcher at KU Leuven, Uppsala University and the University of Copenhagen","computational linguistics,syntactic parsing,multilingual nlp,interpretability"
Orevaoghene Ahia,Orevaoghene Ahia,University of Washington,"natural language processing,computational linguistics"
Anders Søgaard,Anders Søgaard,"Full Professor in NLP and Machine Learning, University of Copenhagen","natural language processing,machine learning."
Li Meng,Xiao-Li Meng,Harvard University,
Morten Goodwin,Morten Goodwin,"Professor, Centre for Artificial Intelligence Research, University of Agder","machine learning,deep learning,neural networks,swarm intelligence"
Anis Yazidi,Anis Yazidi,"Professor, AI Lab, Oslo Metropolitan University",
Paal Engelstad,Paal E. Engelstad,"University of Oslo (ITS, UiO) and Oslo and Akershus University College (Dept.IT, HiOA)",computer science (https://www.researchgate.net/profile/paal_e_engelstad)
Hung Phan,Hung Phan,"Founding Faculty, Fulbright University Vietnam","materials chemistry,organic electronics,computational chemistry,machine learning"
Ali Jannesari,Ali Jannesari,Institute for Color Science and Technology,"polymers,organic coatings,thermal analysis,antifouling paints"
Saturnino Luz,Saturnino Luz,The University of Edinburgh,
Aditi Chaudhary,Aditi Chaudhary,Carnegie Mellon University,"low-resource natural language processing,question-answering"
Arun Sampath,,,
Ashwin Sheshadri,Ashwin K Seshadri,"Centre for Atmospheric and Oceanic Sciences, & Divecha Centre for Climate Change, IISc","climate change policy,dynamical systems,climate dynamics"
Antonios Anastasopoulos,Antonis Anastasopoulos,"Assistant Professor, George Mason University","natural language processing,machine translation,speech recognition"
Graham Neubig,Graham Neubig,"Associate Professor of Computer Science, Carnegie Mellon University","natural language processing,machine learning"
Dennis Klinkhammer,,,
Qingru Zhang,Qingru Zhang,Georgia Institute of Technology,"graph learning,natural language processing,machine learning"
Simiao Zuo,Simiao Zuo,Georgia Institute of Technology,"machine learning,natural language processing"
Chen Liang,Chen Liang,"Lady Davis Institute, McGill University",
Alexander Bukharin,Alexander William Bukharin,Georgia Institute of Technology,"machine learning,deep learning"
Pengcheng He,Pengcheng He,Microsoft,machine learning
Weizhu Chen,Weizhu Chen,Microsoft,"nlp,deep learning and machine learning"
Tuo Zhao,Tuo Zhao,"Assistant Professor, Georgia Tech","machine learning,natural language processing,nonconvex optimization,statistics"
Garima Malik,Garima Malik,Associate Professor of Marketing,"service marketing,crm,rural marketing,banking and finance"
Mucahit Cevik,Mucahit Cevik,Toronto Metropolitan University,"machine learning,reinforcement learning,integer programming,medical decision making"
Devang Parikh,Devang Parekh,Molex,
Ayse Basar,Ayşe (Bener) Başar,Ryerson University,"machine learning,data science,analytics,software engineering"
Ke Li,Ke Li,University of Washington,particle physics
Heng Yang,Heng Yang,University of Cambridge,"computer vision,machine learning,pattern recognition"
Willem Visser,Willem Visser,"Computer Science Division, Stellenbosch University","testing,symbolic execution,software engineering,model checing"
Jan-Christoph Klie,Jan-Christoph Klie,TU Darmstadt UKP,natural language processing
Bonnie Webber,Bonnie Webber,"Professor, School of Informatics, University of Edinburgh","discourse,language technology,computational linguistics"
Iryna Gurevych,Iryna Gurevych,"Professor of Computer Science, Technische Universität Darmstadt","natural language processing,artificial intelligence,semantics"
Xudong Lin,Xudong Lin,Sun Yat-sen University,neural engineering
Simran Tiwari,Simran Tiwari,Columbia University,"computer vision,machine learning"
Shiyuan Huang,Shiyuan Huang,The Second Affiliated Hospital and Yuying Children's Hospital of Wenzhou Medical University,mitochondrial dynamics  myogenesis
Manling Li,Manling Li,University of Illinois at Urbana-Champaign,"natural language processing,multimedia information extraction"
Mike Zheng Shou,,,
Heng Ji,Heng Ji,"Professor of Computer Science, University of Illinois Urbana-Champaign, Amazon Scholar",natural language processing
Shih-Fu Chang,Shih-Fu Chang,"Professor of Electrical Engineering and Computer Science, Columbia University","multimedia,computer vision,machine learning,signal processing,information retrieval"
Max Müller-Eberstein,Max Müller-Eberstein,IT University of Copenhagen,"artificial intelligence,natural language processing,representation learning"
Rob van der Goot,rob van der goot,Postdoc IT university of Copenhagen,"natural language processing,parsing,domain adaptation"
Barbara Plank,Barbara Plank,"Professor, LMU Munich and ITU Copenhagen","natural language processing,computational linguistics,machine learning,transfer learning"
Yikang Shen,Yikang Shen,"Mila, Universite de Montreal","deep learning,natural language processing"
Jinan Zou,Jinan Zou,University of Adelaide,"nlp,event extraction,finnlp"
Haiyao Cao,,,
Lingqiao Liu,Lingqiao Liu,Senior Lecturer of the University of Adelaide,"computer vision,machine learning"
Yuhao Lin,Yuhao Lin,Zhejiang University,"boiling and condensation,evaporation,experiment,numerical simulation"
